0, 951
10, 948
20, 946
30, 944
40, 942
50, 939
60, 939
70, 937
80, 935
90, 934
100, 925
110, 918
120, 918
130, 912
140, 908
150, 902
160, 887
170, 872
180, 858
190, 839
200, 813
210, 779
220, 743
230, 702
240, 659
250, 629
260, 585
270, 547
280, 527
290, 491
300, 472
310, 440
320, 402
330, 356
340, 315
350, 272
360, 256
370, 227
380, 202
390, 172
400, 158
410, 145
420, 139
430, 131
440, 123
450, 116
460, 106
470, 97
480, 90
490, 78
500, 72
510, 61
520, 58
530, 55
540, 41
550, 39
560, 33
570, 33
580, 31
590, 28
600, 26
610, 26
620, 20
630, 17
640, 17
650, 17
660, 17
670, 17
680, 15
690, 15
700, 15
710, 15
720, 15
730, 12
740, 9
750, 9
760, 9
770, 9
780, 9
790, 9
800, 9
810, 9
820, 9
830, 9
840, 6
850, 3
860, 3
870, 3
880, 3
890, 3
900, 3
910, 3
920, 3
930, 3
940, 3
950, 3
960, 3
970, 3
980, 3
990, 3
1000, 3
1010, 3
1020, 3
1030, 3
1040, 3
1050, 3
1060, 3
1070, 3
1080, 3
1090, 3
1100, 3
1110, 3
1120, 3
1130, 3
1140, 3
1150, 3
1160, 3
1170, 3
1180, 3
1190, 3
1200, 3
1210, 3
1220, 3
1230, 3
1240, 3
1250, 3
1260, 3
1270, 3
1280, 3
1290, 3
1300, 3
1310, 3
1320, 3
1330, 3
1340, 3
1350, 3
1360, 3
1370, 3
1380, 3
1390, 3
1400, 3
1410, 3
1420, 3
1430, 3
1440, 3
1450, 3
1460, 3
1470, 3
1480, 3
1490, 3
1500, 3
1510, 3
1520, 3
1530, 3
1540, 3
1550, 3
1560, 3
1570, 3
1580, 3
1590, 3
1600, 3
1610, 3
1620, 3
1630, 3
1640, 3
1650, 3
1660, 3
1670, 3
1680, 3
1690, 3
1700, 3
1710, 3
1720, 3
1730, 3
1740, 3
1750, 3
1760, 3
1770, 3
1780, 3
1790, 3
1800, 3
1810, 3
1820, 3
1830, 3
1840, 3
1850, 3
1860, 3
1870, 3
1880, 3
1890, 3
1900, 3
1910, 3
1920, 3
1930, 3
1940, 3
1950, 3
1960, 3
1970, 3
1980, 3
1990, 3
